SOULFLEX INDUSTRIA E COMERCIO DE MOVEIS LTDA,,,,,,,,,Emissão: 03/09/2025 16:04:53,,
,,,,,,,,,,,
Relatório de Vendas por Período - Qtde,,,,Período:  03/07/2025  até  03/09/2025,,,,,,,Página 1 de 17
Produto,Descrição do Produto,,,,,,Qtde,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Pedido: 7469  Data Venda: 26/06/2025 Data fat:  20/08/25  Vendedor: EDSON Cliente: COLCHOES E COMPLEMENTOS ,,,,,,,,,,,
,,,,,,,,,,,
1100 ,BOX BAU GRAN 088x188 PP1,,,,,1 ,,,,,
1104 ,BOX BAU GRAN 088x188 PP5,,,,,1 ,,,,,
1105 ,BOX BAU GRAN 088x188 SP1,,,,,1 ,,,,,
1162 ,BOX BAU GRAN 138x188 PP3,,,,,1 ,,,,,
1164 ,BOX BAU GRAN 138x188 PP5,,,,,2 ,,,,,
1176 ,BOX BAU GRAN 158x198 PP5,,,,,2 ,,,,,
1177 ,BOX BAU GRAN 158x198 SP1,,,,,2 ,,,,,
1186 ,BOX BAU GRAN 193x203 PP3,,,,,1 ,,,,,
1188 ,BOX BAU GRAN 193x203 PP5,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7470  Data Venda: 27/06/2025 Data fat:  23/07/25  Vendedor: EDSON Cliente: CHIMANGO DISTRIBUIDORA DE COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
3216 ,BOX DIAMANTE 158x198x28 COURO CARAMELO,,,,,1 ,,,,,
6482 ,BOX DIAMANTE 158X198X28 FACTON FENDI,,,,,1 ,,,,,
6493 ,BOX DIAMANTE 158X198X28 FACTON GRAFITE,,,,,1 ,,,,,
7258 ,BOX DIAMANTE 193X203X28 FACTON FENDI,,,,,1 ,,,,,
7454 ,BOX GOLD PRIME 193X203X23  ALASKA 06,,,,,1 ,,,,,
7701 ,BOX DIAMANTE 138X188X28 ALASKA 07,,,,,1 ,,,,,
7702 ,BOX GOLD PRIME 158X198X23 ALASKA 02,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7471  Data Venda: 27/06/2025 Data fat:  04/07/25  Vendedor: EDSON Cliente: SUPER SONO RA ,,,,,,,,,,,
,,,,,,,,,,,
1162 ,BOX BAU GRAN 138x188 PP3,,,,,1 ,,,,,
7703 ,BOX GOLD 138X188X23 TECIDO PROPRIO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7472  Data Venda: 27/06/2025 Data fat:  23/07/25  Vendedor: EDSON Cliente: CHIMANGO DISTRIBUIDORA DE COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
7704 ,BOX GOLD 158X198X23 ALASKA 14,,,,,2 ,,,,,
7705 ,BOX GOLD 158X198X23 ALASKA 08,,,,,2 ,,,,,
7706 ,BOX GOLD 193X203X23 ALASKA 10,,,,,2 ,,,,,
7707 ,BOX GOLD 138X188X23 ALASKA 11,,,,,2 ,,,,,
,,,,,,,,,,,
Pedido: 7473  Data Venda: 27/06/2025 Data fat:  11/07/25  Vendedor: EDSON Cliente: CONFORTT COLCHOES - EDUARDO ,,,,,,,,,,,
,,,,,,,,,,,
5980 ,BOX GRAN 078x188x20 COURO PRETO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7474  Data Venda: 27/06/2025 Data fat:  09/07/25  Vendedor: EDSON Cliente: ATUAL COLCHOES ,,,,,,,,,,,
,,,,,,,,,,,
6205 ,BOX GRAN 108x198 x28 PP4,,,,,1 ,,,,,
6430 ,BOX GRAN 193x203x20 PP1,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7476  Data Venda: 30/06/2025 Data fat:  14/07/25  Vendedor: EDSON Cliente: ORTOBOM ,,,,,,,,,,,
,,,,,,,,,,,
7708 ,BOX DIAMANTE 193X203X28 LINHO CHOCOLATE,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7477  Data Venda: 30/06/2025 Data fat:  16/07/25  Vendedor: EDSON Cliente: SUPER SONO MR ,,,,,,,,,,,
,,,,,,,,,,,
6020 ,BOX GRAN 088x188x23 PP5,,,,,4 ,,,,,
6022 ,BOX GRAN 088x188x28 PP1,,,,,4 ,,,,,
6322 ,BOX GRAN 138x188x28 PP1,,,,,2 ,,,,,
6326 ,BOX GRAN 138x188x28 PP5,,,,,2 ,,,,,
6382 ,BOX GRAN 158x198x28 PP1,,,,,4 ,,,,,
6386 ,BOX GRAN 158x198x28 PP5,,,,,4 ,,,,,
,,,,,,,,,,,
Pedido: 7478  Data Venda: 30/06/2025 Data fat:  03/07/25  Vendedor: EDSON Cliente: CENARIO DO SONO ,,,,,,,,,,,
,,,,,,,,,,,
7709 ,BOX GOLD 138X188X15 ALASKA 01,,,,,1 ,,,,,
Pedido: 7481  Data Venda: 30/06/2025 Data fat:  14/07/25  Vendedor: EDSON Cliente: ORTOBOM ,,,,,,,,,,,
,,,,,,,,,,,
3216 ,BOX DIAMANTE 158x198x28 COURO CARAMELO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7483  Data Venda: 01/07/2025 Data fat:  08/07/25  Vendedor: EDSON Cliente: A PIONEIRA COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
4226 ,BOX GOLD ANTIDERRAPANTE 138x188x23 FACTON FENDI,,,,,1 ,,,,,
7710 ,BOX GOLD ANTIDERRAPANTE 193X203X17 FACTON FENDI,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7484  Data Venda: 01/07/2025 Data fat:  10/07/25  Vendedor: EDSON Cliente: SO COLCHOES BOLIMAR ,,,,,,,,,,,
,,,,,,,,,,,
3216 ,BOX DIAMANTE 158x198x28 COURO CARAMELO,,,,,1 ,,,,,
7634 ,BICAMA DIAMANTE108X198 FACTON FENDI,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7485  Data Venda: 01/07/2025 Data fat:  10/07/25  Vendedor: EDSON Cliente: SUPER SONO RA ,,,,,,,,,,,
,,,,,,,,,,,
5612 ,BOX GOLD 138x188x23 LINHO CINZA,,,,,1 ,,,,,
5864 ,BOX GOLD 193x203x23 COURO CARAMELO,,,,,1 ,,,,,
5964 ,BOX GRAN 078x188x28 PP3,,,,,2 ,,,,,
,,,,,,,,,,,
Pedido: 7487  Data Venda: 01/07/2025 Data fat:  11/07/25  Vendedor: EDSON Cliente: ESTACAO DO SONO CENTRO ,,,,,,,,,,,
,,,,,,,,,,,
6382 ,BOX GRAN 158x198x28 PP1,,,,,2 ,,,,,
6386 ,BOX GRAN 158x198x28 PP5,,,,,3 ,,,,,
,,,,,,,,,,,
Pedido: 7488  Data Venda: 01/07/2025 Data fat:  14/07/25  Vendedor: EDSON Cliente: SONOBOM LUA NOVA ,,,,,,,,,,,
,,,,,,,,,,,
6202 ,BOX GRAN 108x198 x28 PP1,,,,,2 ,,,,,
6382 ,BOX GRAN 158x198x28 PP1,,,,,2 ,,,,,
6384 ,BOX GRAN 158x198x28 PP3,,,,,2 ,,,,,
6442 ,BOX GRAN 193x203x28 PP1,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7489  Data Venda: 01/07/2025 Data fat:  03/07/25  Vendedor: EDSON Cliente: VULER COMERCIO DE COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
4244 ,BOX GOLD ANTIDERRAPANTE 138x188x23 LINHO BEGE,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7491  Data Venda: 01/07/2025 Data fat:  10/07/25  Vendedor: EDSON Cliente: CENARIO DO SONO ,,,,,,,,,,,
,,,,,,,,,,,
1148 ,BOX BAU GRAN 128x188 PP1,,,,,1 ,,,,,
6322 ,BOX GRAN 138x188x28 PP1,,,,,2 ,,,,,
7713 ,BOX GOLD 193X203X23 ALASKA 09,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7493  Data Venda: 02/07/2025 Data fat:  17/07/25  Vendedor: EDSON Cliente: SIMONS RIO VERDE ,,,,,,,,,,,
,,,,,,,,,,,
7714 ,PAINEL DIAMANTE 143X90 COURO CARAMELO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7494  Data Venda: 02/07/2025 Data fat:  16/07/25  Vendedor: EDSON Cliente: VULER COMERCIO DE COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
1162 ,BOX BAU GRAN 138x188 PP3,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7495  Data Venda: 02/07/2025 Data fat:  11/07/25  Vendedor: EDSON Cliente: CHIMANGO DISTRIBUIDORA DE COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
5830 ,BOX GOLD 193x203x23 CAP 2619,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7496  Data Venda: 02/07/2025 Data fat:  11/07/25  Vendedor: EDSON Cliente: LEMA REPRESENTAÇOES ,,,,,,,,,,,
,,,,,,,,,,,
5850 ,BOX GOLD 193x203x15 COURO CARAMELO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7497  Data Venda: 03/07/2025 Data fat:  03/07/25  Vendedor: EDSON Cliente: CASA CRIS COLCHOES E ACESSORIOS LTDA ,,,,,,,,,,,
,,,,,,,,,,,
7385 ,BOX DIAMANTE 193X203X28 FACTON GRAFITE,,,,,1 ,,,,,
7455 ,BOX DIAMANTE 138X188X28 FACTON GRAFITE,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7498  Data Venda: 04/07/2025 Data fat:  23/07/25  Vendedor: EDSON Cliente: CHIMANGO DISTRIBUIDORA DE COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
7715 ,BOX GOLD PRIME 193X203X28 ALASKA 12,,,,,1 ,,,,,
7716 ,BOX GOLD PRIME 193X203X28 ALASKA 03,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7499  Data Venda: 04/07/2025 Data fat:  11/07/25  Vendedor: EDSON Cliente: ESTACAO DO SONO CENTRO ,,,,,,,,,,,
,,,,,,,,,,,
1103 ,BOX BAU GRAN 088x188 PP4,,,,,1 ,,,,,
1136 ,BOX BAU GRAN 108x198 PP1,,,,,2 ,,,,,
,,,,,,,,,,,
Pedido: 7500  Data Venda: 04/07/2025 Data fat:  29/08/25  Vendedor: EDSON Cliente: SUPER SONO RA ,,,,,,,,,,,
,,,,,,,,,,,
5871 ,BOX GOLD 193x203x28 COURO CARAMELO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7501  Data Venda: 04/07/2025 Data fat:  14/07/25  Vendedor: EDSON Cliente: FC FERREIRA JACOB- DISTRIBUIDORA DE COLCHOES BURITI ,,,,,,,,,,,
,,,,,,,,,,,
240 ,BICAMA GOLD 108x198 LINHO CINZA,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7502  Data Venda: 04/07/2025 Data fat:  11/07/25  Vendedor: EDSON Cliente: CENARIO DO SONO ,,,,,,,,,,,
,,,,,,,,,,,
6262 ,BOX GRAN 128x188x28 PP1,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7503  Data Venda: 04/07/2025 Data fat:  06/08/25  Vendedor: EDSON Cliente: FC FERREIRA JACOB- DISTRIBUIDORA DE COLCHOES BURITI ,,,,,,,,,,,
,,,,,,,,,,,
3216 ,BOX DIAMANTE 158x198x28 COURO CARAMELO,,,,,2 ,,,,,
3228 ,BOX DIAMANTE 193x203x28 COURO PRETO,,,,,2 ,,,,,
6482 ,BOX DIAMANTE 158X198X28 FACTON FENDI,,,,,1 ,,,,,
6493 ,BOX DIAMANTE 158X198X28 FACTON GRAFITE,,,,,1 ,,,,,
6839 ,BOX DIAMANTE 193X203X28 FACTON BEGE,,,,,1 ,,,,,
7258 ,BOX DIAMANTE 193X203X28 FACTON FENDI,,,,,1 ,,,,,
7329 ,BOX DIAMANTE 158X198X28 FACTON BEGE,,,,,1 ,,,,,
7385 ,BOX DIAMANTE 193X203X28 FACTON GRAFITE,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7504  Data Venda: 04/07/2025 Data fat:  10/07/25  Vendedor: EDSON Cliente: BOA NOITE COLCHOES ,,,,,,,,,,,
,,,,,,,,,,,
5714 ,BOX GOLD 158x198x23 COURO CARAMELO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7505  Data Venda: 04/07/2025 Data fat:  21/07/25  Vendedor: EDSON Cliente: WALTER PEREIRA PINTO ,,,,,,,,,,,
,,,,,,,,,,,
3114 ,BOX DIAMANTE 088x188x28 COURO CARAMELO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7507  Data Venda: 04/07/2025 Data fat:  10/07/25  Vendedor: EDSON Cliente: REAL COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
7717 ,BOX SOULPRATIC 138X188  PP3,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7508  Data Venda: 04/07/2025 Data fat:  16/07/25  Vendedor: EDSON Cliente: OUTLET COLCHOES E ACESSORIOS LTDA ,,,,,,,,,,,
,,,,,,,,,,,
1162 ,BOX BAU GRAN 138x188 PP3,,,,,1 ,,,,,
6326 ,BOX GRAN 138x188x28 PP5,,,,,2 ,,,,,
6382 ,BOX GRAN 158x198x28 PP1,,,,,1 ,,,,,
6386 ,BOX GRAN 158x198x28 PP5,,,,,2 ,,,,,
6444 ,BOX GRAN 193x203x28 PP3,,,,,2 ,,,,,
6446 ,BOX GRAN 193x203x28 PP5,,,,,2 ,,,,,
,,,,,,,,,,,
Pedido: 7509  Data Venda: 04/07/2025 Data fat:  15/07/25  Vendedor: EDSON Cliente: LIH HOPP COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
7718 ,BOX BAU GOLD 138X188 SAFIRA 03,,,,,1 ,,,,,
7719 ,BOX GOLD ANTIDERRAPANTE 138X188X23 ALASKA 01,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7510  Data Venda: 04/07/2025 Data fat:  28/07/25  Vendedor: EDSON Cliente: SUPER SONO MR ,,,,,,,,,,,
,,,,,,,,,,,
6027 ,BOX GRAN 088x188x28 SP1,,,,,4 ,,,,,
6387 ,BOX GRAN 158x198x28 SP1,,,,,3 ,,,,,
,,,,,,,,,,,
Pedido: 7511  Data Venda: 04/07/2025 Data fat:  04/07/25  Vendedor: EDSON Cliente: FC FERREIRA JACOB- DISTRIBUIDORA DE COLCHOES BURITI ,,,,,,,,,,,
,,,,,,,,,,,
6206 ,BOX GRAN 108x198 x28 PP5,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7512  Data Venda: 04/07/2025 Data fat:  18/07/25  Vendedor: EDSON Cliente: LEMA REPRESENTAÇOES ,,,,,,,,,,,
,,,,,,,,,,,
7720 ,BOX SOULPRATIC 088X188 COURO ROSA,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7513  Data Venda: 04/07/2025 Data fat:  15/07/25  Vendedor: EDSON Cliente: GVM COMERCIO DE COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
12 ,BICAMA GRAN 088x188 COURO CHOCOLATE,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7514  Data Venda: 04/07/2025 Data fat:  10/07/25  Vendedor: EDSON Cliente: REAL COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
5700 ,BOX GOLD 158x198x15 COURO CARAMELO,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7515  Data Venda: 07/07/2025 Data fat:  09/07/25  Vendedor: EDSON Cliente: ATUAL COLCHOES ,,,,,,,,,,,
,,,,,,,,,,,
5764 ,BOX GOLD 158x198x23 LINHO BEGE,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7516  Data Venda: 08/07/2025 Data fat:  28/07/25  Vendedor: EDSON Cliente: A PIONEIRA COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
7522 ,BICAMA GRAN 138X188 NOBOOK NATURAL,,,,,1 ,,,,,
