,,,,,,,,,,,,,,,,,,,,,Impresso em:,,,,,,,9/1/2025,,,,,,Página 1 de 26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RPP - RELAÇÃO DE PEDIDOS A PRODUZIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,[ ]  Costura,,,,,[ ]  Marcenaria,,,,,,[ ] Estofagem,,,,,,,[ ]  Revisão Final/Emb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedido,,,Cliente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,,,Modelo,,,,,,Obs,,,,,,,,Respons.,,,,,,Cantoneira,,,,Pé,,,,Dt.inicio,,,,,Dt.fim
11605 ,,BOX GRAN 158x198x28 PP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11606 ,,BOX GRAN 158x198x28 PP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11607 ,,BOX GRAN 158x198x28 PP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11621 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11622 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11623 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11624 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11625 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11626 ,,BOX GRAN 158x198x28 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
